"1","Flight of the Damned","Story","{\"kills\": 20}"
"2","Desperately Seeking Emma","Story","{\"escort\": 1}"
"3","Bel-Air Brawl","Story","{\"zombies\": 50}"
"4","Call the Cavalry","Story","{\"signal\": 1}"
"5","Room Service for Major Booker","Story","{\"items\": 5}"
"6","The Chaperone","Story","{\"find_survivor\": 1}"
"7","Michael Anders and the Holy Grail","Story","{\"fetch\": 3}"
"8","Justifiable Zombicide","Story","{\"slobbers\": 2}"
"9","Boardwalking Dead","Story","{\"reach_pier\": 1}"
"10","Hollywood Ending","Story","{\"boss\": 1}"
